Rank,Name,Net Worth $B,Age,Country/Territory,Source,Industries
361,STANLEY DRUCKENMILLER,4.7,66.0,United States,hedge funds,Finance & Investments
361,MARIE-HÉLÈNE HABERT,4.7,55.0,France,diversified,Diversified
361,JENSEN HUANG,4.7,57.0,United States,semiconductors,Technology
361,ANANDA KRISHNAN,4.7,82.0,Malaysia,"telecoms, media, oil-services",Telecom
361,FREDRIK LUNDBERG,4.7,68.0,Sweden,"real estate, investments",Real Estate
361,WOLFGANG REIMANN,4.7,67.0,Germany,consumer goods,Fashion & Retail
361,MATTHIAS REIMANN-ANDERSEN,4.7,55.0,Germany,consumer goods,Fashion & Retail
361,STEFAN REIMANN-ANDERSEN,4.7,56.0,Germany,consumer goods,Fashion & Retail
361,RENATE REIMANN-HAAS,4.7,68.0,Germany,consumer goods,Fashion & Retail
375,PYOTR AVEN,4.6,65.0,Russia,"oil, banking, telecom",Energy
375,ARTHUR BLANK,4.6,77.0,United States,Home Depot,Sports
375,CHARLES DOLAN & FAMILY,4.6,93.0,United States,cable television,Media & Entertainment
375,JOE LEWIS,4.6,83.0,United Kingdom,investments,Finance & Investments
375,GEORGE LUCAS,4.6,75.0,United States,Star Wars,Media & Entertainment
375,BERNARD MARCUS,4.6,90.0,United States,Home Depot,Fashion & Retail
375,JOHANN RUPERT & FAMILY,4.6,69.0,South Africa,luxury goods,Fashion & Retail
375,JEFF SKOLL,4.6,55.0,United States,eBay,Technology
383,ROBERT BASS,4.5,72.0,United States,"oil, investments",Energy
383,CHE JIANXING,4.5,53.0,China,furniture retailing,Fashion & Retail
383,LARRY XIANGDONG CHEN,4.5,48.0,China,education,Service
383,DENISE COATES,4.5,52.0,United Kingdom,online gambling,Gambling & Casinos
383,"CHASE COLEMAN, III.",4.5,44.0,United States,hedge fund,Finance & Investments
383,ROCCO COMMISSO,4.5,70.0,United States,telecom,Telecom
383,TAMARA GUSTAVSON,4.5,58.0,United States,self storage,Service
383,HUANG SHILIN,4.5,53.0,China,batteries,Energy
383,JAMES IRVING,4.5,92.0,Canada,diversified,Diversified
383,EDWIN LEONG,4.5,68.0,Hong Kong,real estate,Real Estate
383,HIROSHI MIKITANI,4.5,55.0,Japan,online retail,Fashion & Retail
383,SERGEI POPOV,4.5,48.0,Russia,banking,Finance & Investments
383,TEDDY SAGI,4.5,48.0,Israel,gambling software,Gambling & Casinos
383,FRIEDE SPRINGER,4.5,77.0,Germany,publishing,Media & Entertainment
383,LEONARD STERN,4.5,82.0,United States,real estate,Real Estate
383,TIM SWEENEY,4.5,49.0,United States,video games,Media & Entertainment
383,WANG LIPING & FAMILY,4.5,54.0,China,hydraulic machinery,Manufacturing
383,WANG ZHENHUA,4.5,58.0,China,real estate,Real Estate
401,JEAN-MICHEL BESNIER,4.4,52.0,France,cheese,Food & Beverage
401,MARIE BESNIER BEAUVALOT,4.4,39.0,France,cheese,Food & Beverage
401,GUO GUANGCHANG,4.4,53.0,China,conglomerate,Diversified
401,ANTTI HERLIN,4.4,63.0,Finland,"elevators, escalators",Manufacturing
401,RAY LEE HUNT,4.4,77.0,United States,"oil, real estate",Energy
401,MARTHA INGRAM & FAMILY,4.4,84.0,United States,"book distribution, transportation",Media & Entertainment
401,MARC LADREIT DE LACHARRIERE,4.4,79.0,France,finance,Finance & Investments
401,RICHARD LI,4.4,53.0,Hong Kong,telecom,Telecom
401,"ROBERT RICH, JR.",4.4,79.0,United States,frozen foods,Food & Beverage
401,"JULIAN ROBERTSON, JR.",4.4,87.0,United States,hedge funds,Finance & Investments
401,"WALTER SCOTT, JR. & FAMILY",4.4,88.0,United States,"utilities, telecom",Energy
401,GEORG STUMPF,4.4,47.0,Austria,"real estate, construction",Diversified
401,WANG CHUANFU,4.4,54.0,China,"batteries, automobiles",Automotive
414,JERONIMO ARANGO & FAMILY,4.3,94.0,Mexico,retail,Fashion & Retail
414,JUAN FRANCISCO BECKMANN VIDAL & FAMILY,4.3,80.0,Mexico,tequila,Food & Beverage
414,ALEXANDRE BEHRING,4.3,53.0,Brazil,investments,Finance & Investments
414,DONA BERTARELLI,4.3,52.0,Switzerland,biotech,Diversified
414,MARK CUBAN,4.3,61.0,United States,online media,Media & Entertainment
414,TILMAN FERTITTA,4.3,62.0,United States,"Houston Rockets, entertainment",Food & Beverage
414,SRI PRAKASH LOHIA,4.3,67.0,Indonesia,petrochemicals,Manufacturing
414,JIM PATTISON,4.3,91.0,Canada,diversified,Diversified
414,JOHN A. SOBRATO & FAMILY,4.3,80.0,United States,real estate,Real Estate
414,RONDA STRYKER,4.3,65.0,United States,medical equipment,Healthcare
414,MURAT ULKER,4.3,61.0,Turkey,food,Food & Beverage
414,ZHOU HONGYI,4.3,49.0,China,security software,Technology
426,BAJAJ BROTHERS,4.2,,India,diversified,Diversified
426,STEPHEN BISCIOTTI,4.2,59.0,United States,"staffing, Baltimore Ravens",Sports
426,ASHWIN DANI,4.2,77.0,India,paints,Manufacturing
426,CHARLES B. JOHNSON,4.2,87.0,United States,money management,Finance & Investments
426,THEO MUELLER,4.2,80.0,Germany,dairy,Food & Beverage
426,JOHN PAULSON,4.2,64.0,United States,hedge funds,Finance & Investments
426,ISSAD REBRAB & FAMILY,4.2,76.0,Algeria,food,Food & Beverage
426,SHELDON SOLOW,4.2,91.0,United States,real estate,Real Estate
426,DAVID SUN,4.2,68.0,United States,computer hardware,Technology
426,JOHN TU,4.2,78.0,United States,computer hardware,Technology
426,WEI JIANJUN & FAMILY,4.2,56.0,China,automobiles,Automotive
437,NATHAN BLECHARCZYK,4.1,36.0,United States,Airbnb,Technology
437,NEAL BLUE & FAMILY,4.1,85.0,United States,defense,Manufacturing
437,CHEN LIP KEONG,4.1,72.0,Malaysia,"casinos, property, energy",Gambling & Casinos
437,BRIAN CHESKY,4.1,38.0,United States,Airbnb,Technology
437,GUENTHER FIELMANN & FAMILY,4.1,80.0,Germany,optometry,Healthcare
437,JOE GEBBIA,4.1,38.0,United States,Airbnb,Technology
437,ANDREI GURIEV & FAMILY,4.1,60.0,Russia,fertilizers,Manufacturing
437,AXEL OBERWELLAND,4.1,53.0,Germany,candy,Food & Beverage
437,PAN SUTONG,4.1,57.0,Hong Kong,"real estate, finance",Real Estate
437,AUGUSTO & GIORGIO PERFETTI,4.1,,Italy,candy,Food & Beverage
437,ODD REITAN,4.1,68.0,Norway,"retail, real estate",Fashion & Retail
437,TAHIR & FAMILY,4.1,68.0,Indonesia,diversified,Diversified
437,WANG WENXUE,4.1,52.0,China,real estate,Real Estate
437,YEUNG KIN-MAN,4.1,56.0,Hong Kong,electronics,Manufacturing
451,MARGOT BIRMINGHAM PEROT,4,86.0,United States,"computer services, real estate",Technology
451,JACK DANGERMOND,4,74.0,United States,mapping software,Technology
451,TRAUDL ENGELHORN & FAMILY,4,93.0,Germany,"pharmaceuticals, medical equipment",Healthcare
451,JOSHUA HARRIS,4,55.0,United States,private equity,Finance & Investments
451,VIATCHESLAV KANTOR,4,66.0,Russia,"fertilizer, real estate",Manufacturing
451,RONALD LAUDER,4,76.0,United States,Estee Lauder,Fashion & Retail
451,JANICE MCNAIR,4,83.0,United States,"energy, sports",Sports
451,SAMI MNAYMNEH,4,58.0,United States,private equity,Finance & Investments
451,YASUMITSU SHIGETA & FAMILY,4,55.0,Japan,mobile phone retailer,Telecom
451,JERRY SPEYER,4,79.0,United States,real estate,Real Estate
451,TONY TAMER,4,62.0,United States,private equity,Finance & Investments
451,RADOVAN VITEK,4,48.0,Czechia,real estate,Real Estate
451,WANG LINPENG,4,51.0,China,furniture retailing,Construction & Engineering
451,RUSS WEINER,4,49.0,United States,energy drinks,Food & Beverage
451,LES WEXNER & FAMILY,4,82.0,United States,retail,Fashion & Retail
451,YAO LIANGSONG,4,55.0,China,furniture,Manufacturing
451,ZHU BAOGUO & FAMILY,4,57.0,China,pharmaceuticals,Healthcare
468,AN KANG,3.9,71.0,China,pharmaceuticals,Healthcare
468,DING SHIJIA,3.9,56.0,China,sports apparel,Fashion & Retail
468,DING SHIZHONG & FAMILY,3.9,49.0,China,sports apparel,Fashion & Retail
468,GUSTAF DOUGLAS,3.9,82.0,Sweden,investments,Diversified
468,KEN FISHER,3.9,69.0,United States,money management,Finance & Investments
468,BARRY LAM,3.9,70.0,Taiwan,electronics,Technology
468,LAM WAI YING,3.9,,Hong Kong,smartphone screens,Manufacturing
468,MARGARITA LOUIS-DREYFUS & FAMILY,3.9,57.0,Switzerland,commodities,Food & Beverage
468,IGOR OLENICOFF,3.9,77.0,United States,real estate,Real Estate
468,ISAAC PERLMUTTER,3.9,77.0,United States,Marvel comics,Media & Entertainment
468,QI SHI & FAMILY,3.9,50.0,China,financial information,Technology
468,CARLOS RODRIGUEZ-PASTOR,3.9,60.0,Peru,finance,Finance & Investments
468,JUAN ROIG,3.9,70.0,Spain,supermarkets,Fashion & Retail
468,STEVEN UDVAR-HAZY,3.9,74.0,United States,aircraft leasing,Service
468,WANG YUSUO & FAMILY,3.9,56.0,China,natural gas distribution,Energy
468,ZHAO YAN,3.9,53.0,China,"real estate, finance",Diversified
484,MARIA FERNANDA AMORIM & FAMILY,3.8,85.0,Portugal,"energy, investments",Diversified
484,RAHUL BAJAJ,3.8,81.0,India,diversified,Diversified
484,CHENG XUE,3.8,50.0,China,soy sauce,Food & Beverage
484,MARIAN ILITCH,3.8,87.0,United States,Little Caesars,Food & Beverage
484,MARY ALICE DORRANCE MALONE,3.8,70.0,United States,Campbell Soup,Food & Beverage
484,YURI MILNER,3.8,58.0,Israel,tech investments,Finance & Investments
484,EMANUELE (LINO) SAPUTO & FAMILY,3.8,83.0,Canada,cheese,Food & Beverage
484,SHAUL SHANI,3.8,65.0,Israel,telecom,Telecom
484,HARRY STINE,3.8,78.0,United States,agriculture,Food & Beverage
484,JEFF SUTTON,3.8,60.0,United States,real estate,Real Estate
494,ABDULLA BIN AHMAD AL GHURAIR & FAMILY,3.7,,United Arab Emirates,diversified,Diversified
494,DAVID & FREDERICK BARCLAY,3.7,86.0,United Kingdom,"media, retail",Diversified
494,NEIL BLUHM,3.7,82.0,United States,real estate,Real Estate
494,DAVID BONDERMAN,3.7,77.0,United States,private equity,Finance & Investments
494,JEAN-PIERRE CAYARD,3.7,77.0,France,spirits,Food & Beverage
494,ANDREW CURRIE,3.7,64.0,United Kingdom,chemicals,Manufacturing
494,JEFF GREENE,3.7,65.0,United States,"real estate, investments",Real Estate
494,REED HASTINGS,3.7,59.0,United States,Netflix,Media & Entertainment
494,VLADIMIR KIM,3.7,59.0,Kazakhstan,mining,Metals & Mining
494,TED LERNER & FAMILY,3.7,94.0,United States,real estate,Real Estate
494,LI WA,3.7,54.0,Hong Kong,real estate,Real Estate
494,MICHAEL MILKEN,3.7,73.0,United States,investments,Finance & Investments
494,AKIO NITORI,3.7,76.0,Japan,home furnishings,Fashion & Retail
494,IDAN OFER,3.7,64.0,Israel,"drilling, shipping",Diversified
494,MITCHELL RALES,3.7,63.0,United States,"manufacturing, investments",Manufacturing
494,JOHN REECE,3.7,63.0,United Kingdom,chemicals,Manufacturing
494,TREVOR REES-JONES,3.7,68.0,United States,oil & gas,Energy
494,KUSHAL PAL SINGH,3.7,88.0,India,real estate,Real Estate
494,MICHAL SOLOWOW,3.7,57.0,Poland,investments,Finance & Investments
494,AIYAWATT SRIVADDHANAPRABHA & FAMILY,3.7,34.0,Thailand,duty-free,Fashion & Retail
514,DANNINE AVARA,3.6,56.0,United States,pipelines,Energy
514,DAGMAR DOLBY & FAMILY,3.6,78.0,United States,Dolby Laboratories,Technology
514,SCOTT DUNCAN,3.6,37.0,United States,pipelines,Energy
514,MILANE FRANTZ,3.6,50.0,United States,pipelines,Energy
514,FRITS GOLDSCHMEDING,3.6,86.0,Netherlands,temp agency,Service
514,LUCIANO HANG,3.6,57.0,Brazil,department stores,Fashion & Retail
514,HEDDA IM BRAHM-DROEGE,3.6,65.0,Germany,consulting,Service
514,SUMET JIARAVANON,3.6,85.0,Thailand,diversified,Diversified
514,SAMUEL TAK LEE,3.6,80.0,Hong Kong,real estate,Real Estate
514,LEE YEOW CHOR & YEOW SENG,3.6,,Malaysia,"palm oil, property",Food & Beverage
514,LIN SHU-HONG,3.6,91.0,Taiwan,petrochemicals,Manufacturing
514,SHIGENOBU NAGAMORI,3.6,75.0,Japan,motors,Manufacturing
514,NIE TENGYUN & FAMILY,3.6,44.0,China,logistics,Service
514,RODGER RINEY & FAMILY,3.6,74.0,United States,discount brokerage,Finance & Investments
514,GARY ROLLINS,3.6,75.0,United States,pest control,Service
514,ALEXANDRA SCHOERGHUBER,3.6,61.0,Germany,real estate,Real Estate
514,THOMAS SIEBEL,3.6,67.0,United States,business software,Technology
514,LYNSI SNYDER,3.6,37.0,United States,In-N-Out Burger,Food & Beverage
514,STEVEN SPIELBERG,3.6,73.0,United States,movies,Media & Entertainment
514,DONALD STERLING,3.6,85.0,United States,real estate,Real Estate
514,RITA TONG LIU,3.6,71.0,Hong Kong,real estate,Real Estate
514,ROGER WANG,3.6,71.0,United States,retail,Fashion & Retail
514,RANDA DUNCAN WILLIAMS,3.6,58.0,United States,pipelines,Energy
514,ALOYS WOBBEN,3.6,68.0,Germany,wind turbines,Energy
538,BEN ASHKENAZY,3.5,50.0,United States,real estate,Real Estate
538,URSULA BECHTOLSHEIMER-KIPP,3.5,68.0,Germany,retail,Real Estate
538,VINCENT BOLLORÉ & FAMILY,3.5,68.0,France,investments,Finance & Investments
538,JARAN CHIARAVANONT,3.5,90.0,Thailand,diversified,Diversified
538,HASMUKH CHUDGAR,3.5,86.0,India,pharmaceuticals,Healthcare
538,DULCE PUGLIESE DE GODOY BUENO,3.5,72.0,Brazil,"hospitals, health care",Healthcare
538,MURALI DIVI & FAMILY,3.5,69.0,India,pharmaceuticals,Healthcare
538,"AMOS HOSTETTER, JR.",3.5,83.0,United States,cable television,Media & Entertainment
538,MONTRI JIARAVANONT,3.5,89.0,Thailand,diversified,Diversified
538,MIN KAO & FAMILY,3.5,71.0,United States,navigation equipment,Technology
538,IGOR KESAEV,3.5,53.0,Russia,"tobacco distribution, retail",Fashion & Retail
538,PATRICK LEE,3.5,78.0,Hong Kong,paper,Manufacturing
538,DOUGLAS LEONE,3.5,62.0,United States,venture capital,Finance & Investments
538,LIN BIN,3.5,52.0,United States,smartphones,Technology
538,GABE NEWELL,3.5,57.0,United States,videogames,Gambling & Casinos
538,PRAJOGO PANGESTU,3.5,75.0,Indonesia,petrochemicals,Diversified
538,ANTHONY PRITZKER,3.5,59.0,United States,"hotels, investments",Service
538,RANDALL ROLLINS,3.5,88.0,United States,pest control,Service
538,HENRY SAMUELI,3.5,65.0,United States,semiconductors,Technology
538,CHARLES SIMONYI,3.5,71.0,United States,Microsoft,Technology
538,PAUL SINGER,3.5,75.0,United States,hedge funds,Finance & Investments
538,DAVID STEWARD,3.5,68.0,United States,IT provider,Technology
538,TEH HONG PIOW,3.5,90.0,Malaysia,banking,Finance & Investments
538,FRANK VANDERSLOOT,3.5,71.0,United States,"nutrition, wellness products",Fashion & Retail
538,M.A. YUSUFF ALI,3.5,64.0,India,retail,Fashion & Retail
538,ZHANG HONGWEI,3.5,65.0,China,"oil, banking",Diversified
538,ZHANG XIN & PAN SHIYI,3.5,54.0,China,real estate,Real Estate
565,KAPIL & RAHUL BHATIA,3.4,,India,airlines,Service
565,RICHARD BRANSON,3.4,69.0,United Kingdom,Virgin,Diversified
565,RICK CARUSO,3.4,61.0,United States,real estate,Real Estate
565,BUBBA CATHY,3.4,65.0,United States,Chick-fil-A,Food & Beverage
565,DAN CATHY,3.4,67.0,United States,Chick-fil-A,Food & Beverage
565,MAHENDRA CHOKSI & FAMILY,3.4,78.0,India,paints,Manufacturing
565,DONG WEI,3.4,49.0,China,pharmaceuticals,Healthcare
565,PAVEL DUROV,3.4,35.0,Russia,messaging app,Technology
565,JUAN CARLOS ESCOTET,3.4,60.0,Venezuela,banking,Finance & Investments
565,SERGEI GALITSKY,3.4,52.0,Russia,retail,Fashion & Retail
565,JAIME GILINSKI BACAL,3.4,62.0,Colombia,banking,Finance & Investments
565,PANSY HO,3.4,57.0,Hong Kong,casinos,Gambling & Casinos
565,HUANG RULUN,3.4,68.0,China,real estate,Real Estate
565,DANIEL KRETINSKY,3.4,44.0,Czechia,"energy, investments",Energy
565,MIGUEL KRIGSNER,3.4,70.0,Brazil,cosmetics,Fashion & Retail
565,LUDWIG MERCKLE,3.4,55.0,Germany,pharmaceuticals,Finance & Investments
565,AKIRA MORI & FAMILY,3.4,83.0,Japan,real estate,Real Estate
565,MICHAEL MORITZ,3.4,65.0,United States,venture capital,Technology
565,J.B. PRITZKER,3.4,55.0,United States,"hotels, investments",Finance & Investments
565,"ENRIQUE RAZON, JR.",3.4,60.0,Philippines,ports,Logistics
565,THOMAS SCHMIDHEINY,3.4,74.0,Switzerland,cement,Construction & Engineering
565,RICHARD SCHULZE,3.4,79.0,United States,Best Buy,Fashion & Retail
565,LYNN SCHUSTERMAN,3.4,81.0,United States,"oil & gas, investments",Energy
565,ROMESH T. WADHWANI,3.4,72.0,United States,software,Technology
565,ZHANG JIN,3.4,48.0,China,diversified,Diversified
590,MAJID AL FUTTAIM & FAMILY,3.3,,United Arab Emirates,"real estate, retail",Real Estate
590,MOHED ALTRAD,3.3,72.0,France,"scaffolding, cement mixers",Construction & Engineering
590,SHARI ARISON,3.3,62.0,Israel,Carnival Cruises,Service
590,JOHN ARNOLD,3.3,46.0,United States,hedge funds,Finance & Investments
590,JOHN CATSIMATIDIS,3.3,71.0,United States,"oil, real estate",Energy
590,CHU MANG YEE & FAMILY,3.3,60.0,China,real estate,Real Estate
590,DAN FRIEDKIN,3.3,55.0,United States,Toyota dealerships,Automotive
590,H. FISK JOHNSON,3.3,61.0,United States,cleaning products,Manufacturing
590,S. CURTIS JOHNSON,3.3,64.0,United States,cleaning products,Manufacturing
590,HELEN JOHNSON-LEIPOLD,3.3,63.0,United States,cleaning products,Manufacturing
590,VIKRAM LAL,3.3,78.0,India,motorcycles,Automotive
590,JANE LAUDER,3.3,47.0,United States,Estée Lauder,Fashion & Retail
590,LIN XIUCHENG & FAMILY,3.3,64.0,China,electronics,Technology
590,WINIFRED J. MARQUART,3.3,61.0,United States,cleaning products,Manufacturing
590,MOHAMED MANSOUR,3.3,72.0,Egypt,diversified,Diversified
590,JOHN MIDDLETON,3.3,65.0,United States,tobacco,Food & Beverage
590,ARNON MILCHAN,3.3,75.0,Israel,movie making,Media & Entertainment
590,ARTURO MORENO,3.3,73.0,United States,"billboards, Anaheim Angels",Sports
590,MICHAEL OTTO,3.3,76.0,Germany,"retail, real estate",Fashion & Retail
590,ALEXANDER PONOMARENKO,3.3,55.0,Russia,"real estate, airport",Logistics
590,DIRK ROSSMANN & FAMILY,3.3,73.0,Germany,drugstores,Fashion & Retail
590,SHI YONGHONG & FAMILY,3.3,51.0,China,restaurants,Food & Beverage
590,ALEXANDER SKOROBOGATKO,3.3,52.0,Russia,"real estate, airport",Logistics
590,ANTHONY VON MANDL,3.3,,Canada,alcoholic beverages,Food & Beverage
590,MEG WHITMAN,3.3,63.0,United States,eBay,Technology
590,CHRISTOPH ZELLER,3.3,62.0,Liechtenstein,dental implants,Healthcare
616,ANDREJ BABIS,3.2,65.0,Czechia,agriculture,Food & Beverage
616,GAYLE BENSON,3.2,73.0,United States,pro sports teams,Sports
616,BERT BEVERIDGE,3.2,58.0,United States,vodka,Food & Beverage
616,CHARLES COHEN,3.2,68.0,United States,real estate,Real Estate
616,JOHN COLLISON,3.2,29.0,Ireland,payments software,Technology
616,PATRICK COLLISON,3.2,31.0,Ireland,payment software,Technology
616,LEON G. COOPERMAN,3.2,76.0,United States,hedge funds,Finance & Investments
616,YAKIR GABAY,3.2,53.0,Cyprus,real estate,Real Estate
616,TOM GOLISANO,3.2,78.0,United States,payroll services,Service
616,JONATHAN GRAY,3.2,50.0,United States,investments,Finance & Investments
616,MARTIN HAEFNER,3.2,66.0,Switzerland,"software, investments",Technology
616,"JEREMY JACOBS, SR. & FAMILY",3.2,80.0,United States,food service,Service
616,JIANG BIN,3.2,53.0,China,acoustic components,Technology
616,"RUPERT JOHNSON, JR.",3.2,79.0,United States,money management,Finance & Investments
616,DARYL KATZ,3.2,58.0,Canada,pharmacies,Diversified
616,KEN LANGONE,3.2,84.0,United States,investments,Finance & Investments
616,GUENTHER LEHMANN & FAMILY,3.2,,Germany,drugstores,Fashion & Retail
616,JAMES LEPRINO,3.2,82.0,United States,cheese,Food & Beverage
616,LI HAIYAN,3.2,,China,restaurants,Food & Beverage
616,RONALD MCAULAY,3.2,84.0,Hong Kong,energy,Energy
616,MASAHIRO MIKI,3.2,64.0,Japan,shoes,Fashion & Retail
616,JOHN MORRIS,3.2,72.0,United States,sporting goods retail,Fashion & Retail
616,HANS GEORG NAEDER,3.2,58.0,Germany,prosthetics,Manufacturing
616,PAOLO & GIANFELICE MARIO ROCCA,3.2,,Italy,pipe manufacturing,Metals & Mining
616,MARC ROWAN,3.2,57.0,United States,private equity,Finance & Investments
616,YITZHAK TSHUVA,3.2,71.0,Israel,real estate,Real Estate
616,TUNG CHEE CHEN,3.2,77.0,Hong Kong,shipping,Logistics
616,CHIP WILSON,3.2,63.0,Canada,Lululemon,Fashion & Retail
616,XU JINGREN,3.2,75.0,China,pharmaceuticals,Healthcare
616,DENISE YORK & FAMILY,3.2,69.0,United States,San Francisco 49ers,Sports
616,MICREE ZHAN,3.2,41.0,China,Cryptocurrency mining chips,Technology
616,ZHANG WENZHONG,3.2,58.0,China,supermarkets,Fashion & Retail
648,ANIL AGARWAL & FAMILY,3.1,66.0,India,"mining, metals",Metals & Mining
648,IGOR ALTUSHKIN,3.1,49.0,Russia,metals,Metals & Mining
648,ALAIN BOUCHARD,3.1,71.0,Canada,retail,Fashion & Retail
648,DMITRY BUKHMAN,3.1,34.0,Russia,online games,Media & Entertainment
648,IGOR BUKHMAN,3.1,38.0,Russia,online games,Media & Entertainment
648,JOHN PAUL DEJORIA,3.1,75.0,United States,"hair products, tequila",Fashion & Retail
648,GUSTAVO DENEGRI,3.1,83.0,Italy,biotech,Healthcare
648,BERNARD ECCLESTONE & FAMILY,3.1,89.0,United Kingdom,Formula One,Sports
648,ALLAN GOLDMAN,3.1,77.0,United States,real estate,Real Estate
648,JANE GOLDMAN,3.1,64.0,United States,real estate,Real Estate
648,AMY GOLDMAN FOWLER,3.1,65.0,United States,real estate,Real Estate
648,THOMAS HAGEN,3.1,84.0,United States,insurance,Finance & Investments
648,DON HANKEY,3.1,76.0,United States,auto loans,Finance & Investments
648,PETER HARGREAVES,3.1,73.0,United Kingdom,financial services,Finance & Investments
648,HUANG LI,3.1,56.0,China,imaging systems,Technology
648,ERMAN ILICAK,3.1,52.0,Turkey,construction,Construction & Engineering
648,MASATOSHI ITO,3.1,95.0,Japan,retail,Fashion & Retail
648,DIANE KEMPER,3.1,74.0,United States,real estate,Real Estate
648,KAREL KOMAREK,3.1,51.0,Czechia,"oil and gas, IT, lotteries",Gambling & Casinos
648,LU XIANGYANG,3.1,57.0,China,"automobiles, batteries",Automotive
648,DANIEL OCH,3.1,59.0,United States,hedge funds,Finance & Investments
648,PARK YEON-CHA,3.1,74.0,South Korea,sneakers,Manufacturing
648,KARSANBHAI PATEL,3.1,76.0,India,consumer goods,Diversified
648,THOMAS PRITZKER,3.1,69.0,United States,"hotels, investments",Finance & Investments
648,NICOLAS PUECH,3.1,77.0,France,Hermes,Fashion & Retail
648,"EDWARD ROSKI, JR.",3.1,81.0,United States,real estate,Real Estate
648,JOHN SALL,3.1,72.0,United States,software,Technology
648,CHAIRUL TANJUNG,3.1,57.0,Indonesia,diversified,Diversified
648,ABHAY VAKIL & FAMILY,3.1,69.0,India,Paints,Manufacturing
648,WU ZHIGANG & FAMILY,3.1,85.0,China,bakery chain,Food & Beverage
648,STEVE WYNN,3.1,78.0,United States,"casinos, hotels",Gambling & Casinos
648,YI ZHENG,3.1,49.0,China,software,Technology
680,CARL BENNET,3,68.0,Sweden,investments,Finance & Investments
680,MARTIN & OLIVIER BOUYGUES,3,,France,"construction, media",Construction & Engineering
680,ORLANDO BRAVO,3,49.0,United States,private equity,Finance & Investments
680,JOHN BROWN,3,85.0,United States,medical equipment,Healthcare
680,GIUSEPPE DE'LONGHI & FAMILY,3,80.0,Italy,coffee makers,Fashion & Retail
680,RAFAEL DEL PINO Y CALVO-SOTELO,3,61.0,Spain,construction,Construction & Engineering
680,BARRY DILLER,3,78.0,United States,online media,Media & Entertainment
680,BENNETT DORRANCE,3,74.0,United States,Campbell Soup,Food & Beverage
680,FANG WEI,3,46.0,China,steel,Manufacturing
680,PIERO FERRARI,3,74.0,Italy,automobiles,Automotive
680,FU LIQUAN,3,52.0,China,surveillance equipment,Technology
680,CHRISTIAN HAUB,3,55.0,Germany,retail,Fashion & Retail
680,HEIDI HORTEN,3,79.0,Austria,retail,Fashion & Retail
680,JAMES IRSAY,3,60.0,United States,Indianapolis Colts,Sports
680,THAI LEE,3,61.0,United States,IT provider,Technology
680,ANGELA LEONG,3,59.0,Hong Kong,casinos,Real Estate
680,LI LIUFA & FAMILY,3,62.0,China,"steel, diversified",Diversified
680,JOSEPH LIEMANDT,3,51.0,United States,software,Technology
680,TOBI LUTKE,3,39.0,Canada,e-commerce,Technology
680,GWENDOLYN SONTHEIM MEYER,3,58.0,United States,Cargill,Food & Beverage
680,BENJAMIN ZHENGMIN PAN & FAMILY,3,50.0,China,electronics,Technology
680,CARRIE PERRODO & FAMILY,3,69.0,France,oil,Energy
680,IRA RENNERT,3,85.0,United States,investments,Finance & Investments
680,NAGUIB SAWIRIS,3,65.0,Egypt,telecom,Telecom
680,HOWARD SCHULTZ,3,66.0,United States,Starbucks,Food & Beverage
680,THOMAS SECUNDA,3,65.0,United States,Bloomberg LP,Media & Entertainment
680,ERIC SMIDT,3,60.0,United States,hardware stores,Fashion & Retail
680,BARRY STERNLICHT,3,59.0,United States,private equity,Finance & Investments
680,SUH KYUNG-BAE,3,57.0,South Korea,cosmetics,Fashion & Retail
680,"WILLIAM WRIGLEY, JR.",3,56.0,United States,chewing gum,Food & Beverage
680,MICHAEL MINHONG YU,3,58.0,China,education,Service
680,YU YONG,3,59.0,China,mining,Finance & Investments
712,JUAN ABELLO,2.9,78.0,Spain,investments,Finance & Investments
712,RICHARD CHANDLER,2.9,61.0,New Zealand,investments,Finance & Investments
712,CHEN JIANHUA,2.9,49.0,China,chemicals,Manufacturing
712,PIERRE CHEN,2.9,63.0,Taiwan,electronics,Technology
712,SCOTT COOK,2.9,67.0,United States,software,Technology
712,DANIEL D'ANIELLO,2.9,73.0,United States,private equity,Finance & Investments
712,ANDRE ESTEVES,2.9,51.0,Brazil,banking,Finance & Investments
712,JOHN GANDEL,2.9,85.0,Australia,shopping malls,Real Estate
712,MICHAEL HINTZE,2.9,66.0,Australia,investment,Finance & Investments
712,STEVEN KLINSKY,2.9,63.0,United States,investments,Finance & Investments
712,KWON HYUK-BIN,2.9,46.0,South Korea,online games,Technology
712,HANS LANGER,2.9,68.0,Germany,3D printing,Manufacturing
712,RUDOLF MAAG,2.9,74.0,Switzerland,medical devices,Healthcare
712,MASAHIRO NODA,2.9,81.0,Japan,software,Technology
712,DENIS O'BRIEN,2.9,61.0,Ireland,telecom,Telecom
712,DAN OLSSON,2.9,73.0,Sweden,diversified,Diversified
712,PANKAJ PATEL,2.9,67.0,India,pharmaceuticals,Healthcare
712,ABDULSAMAD RABIU,2.9,59.0,Nigeria,"cement, sugar",Diversified
712,MICHAEL RUBIN,2.9,47.0,United States,online retail,Fashion & Retail
712,PATRICK RYAN,2.9,82.0,United States,insurance,Finance & Investments
712,"BERNARD SAUL, II.",2.9,87.0,United States,"banking, real estate",Finance & Investments
